ASIN,star_rating,ratings,featureBullets,Overview
B0929JQR9W,False,False,False,False
B08R3VJPC7,False,False,False,False
B08R3TYZZ7,False,False,False,False
B0CWH51CSP,False,False,False,False
B09JSZH2H5,False,False,False,False
B0BHTF814S,False,False,False,False
B0BTHB7HFQ,False,False,False,False
B08HJHRT2D,False,False,False,False
B0BYDM2WKS,False,False,False,False
B08R3WF92P,False,False,False,False
B07Q121SKH,False,False,False,False
B08R3W4J6G,False,False,False,False
B07Y1T9RFK,False,False,False,False
B0BSRVSQ7L,False,False,False,False
B08Z3GTWMZ,False,False,False,False
B0DB2H5FG6,False,False,False,False
B0DB2DX6SY,False,False,False,False
B0DB2GXML2,True,True,False,False
B0BHTBTYC6,False,False,False,False
B08DLNCNCP,False,False,False,False
B08HGN31W2,False,False,False,False
B0755J51XM,False,False,False,False
B073H17XVG,False,False,False,False
B08FSDLCNL,False,False,False,False
B08DLMD35L,False,False,False,False
B09R175VX6,False,False,False,False
B0929JTFX5,False,False,False,False
B0B3W47G5Y,False,False,False,False
B07MF32WNQ,False,False,False,False
B0CWH4VGWX,False,False,False,False
B0BPSB16BM,False,False,False,False
B08DLP7XHD,False,False,False,False
B08R3VFJNT,False,False,False,False
B0D1KNVP1B,False,False,False,False
B09WYXK3RC,False,False,True,False
B08R3VPQM3,False,False,False,False
B0CSYC8C2Q,False,False,False,False
B0BTH87T3T,False,False,False,False
B0719DJWTM,False,False,False,False
B07QVD2CCS,False,False,False,False
B0BPSRLZSW,False,False,False,False
B00ID73C3O,False,False,False,False
B0C7R7M531,False,False,False,True
B09WYY13RL,False,False,False,False
B08DL2294J,False,False,False,False
B0BWFN9QCB,False,False,False,False
B0BVFQ1QQC,False,False,False,False
B08R3VGBNF,False,False,False,False
B0BTH5SFXC,False,False,False,False
B0D7W353L8,False,False,False,True
B074PMCC33,False,False,False,True
B08S42B9CL,False,False,False,True
B077BYN9DB,False,False,False,True
B0CQWKLLR7,False,False,True,True
B0D9FD5CDS,False,False,True,True
B0DFCR1PFQ,False,False,False,True
B01EFNPF20,False,False,True,True
B0C5VM3SZW,False,False,True,True
B0DGWZ9HP8,False,False,True,True
B0DCC561N4,True,True,True,True
B0CW67ZDJB,False,False,True,True
B09MKMFVGS,False,False,True,True
B09G6WLGRR,False,False,False,True
B07Z7RSPMR,False,False,True,True
