name,category_id
Sculpture Modeling Compounds,271
Sculpture Modeling Tools,272
Sculpture Molding & Casting Products,273
Sculpture Release Agents,274
Sculpture Wire & Armatures,275
Soap Making Supplies,157
Soap Making Bases & Melts,276
Soap Making Dyes,277
Soap Making Molds,278
Soap Making Scents,279
Stained Glass Making Supplies,158
Stained Glass Lead & Foil,280
Stained Glass Making Tools,281
Stained Glass Sheets,282
Suncatcher Supplies,159
Weaving & Spinning Supplies,160
Weaving Ball Winders,283
Weaving Loom Tools & Accessories,284
Weaving Looms,285
Weaving Spinning Wheels,286
Wood Craft Supplies,161
Unfinished Wood,287
Wood Burning Tools,288
Wood Carving Tools,289
Fabric Decorating,82
Fabric & Textile Paints,290
Fabric Decorating Kits,291
Fabric Dyes,292
Fabric Painting & Dyeing Fixatives,293
Fabric Painting & Dyeing Tools,294
Knitting & Crochet Supplies,83
Crochet Hooks,295
Crochet Kits,296
Crochet Patterns,297
Crochet Thread,298
Knitting & Crochet Needle Cases,299
Knitting & Crochet Notions,300
Knitting Kits,301
Knitting Looms & Boards,302
Knitting Needles,303
Knitting Patterns,304
Yarn,305
Model & Hobby Building,84
"Model & Hobby Building Accessories, Hardware & Tools",306
Needlework Supplies,85
Cross-Stitch Supplies,307
Cross-Stitch Aida Cloth,315
Cross-Stitch Counted Kits,316
Cross-Stitch Patterns,317
Cross-Stitch Stamped Kits,318
Embroidery Supplies,308
Embroidery Hoops,319
Embroidery Kits,320
Felt Applique Kits,309
Needle Felting Supplies,310
Needle Felting Kits,321
Needle Felting Needles,322
Needle Felting Tools,323
Wool Roving,324
Needlepoint,311
Needlepoint Blank Canvas,325
Needlepoint Kits,326
Needlepoint Patterned Canvas,327
Needlepoint Patterns,328
Yarn Needles,329
Punch Needle & Rug Punch,312
Punch Needle Supplies,330
Rug Punch Supplies,331
Rug Making Supplies & Latch Hook Kits,313
Latch Hook Kits,332
Latch Hook Supplies,333
Tatting & Lacemaking Supplies,314
"Painting, Drawing & Art Supplies",86
Art Drawing Supplies,334
Artists Drawing Media,340
Drawing Chalk,352
Drawing Charcoals,353
Drawing Crayons,354
Drawing Inks,355
Drawing Markers,356
Drawing Pastels,357
Drawing Pencils,358
Drawing Pens,359
Artists Drawing Sets,341
Artists Light Boxes,342
Artists' Drawing & Lettering Aids,343
Artists' Manikins,344
Calligraphy & Sumi Brushes,345
Drawing Art Blenders,346
Drawing Erasers,347
Drawing Fixatives,348
Drawing Nibs,349
Drawing Rubbing Plates & Supplies,350
Drawing Tables & Boards,351
Art Paper,335
Artist Trading Cards,360
Bristol Paper & Vellum,361
Arts & Crafts Vellum,371
Bristol Paper,372
Drawing Paper,362
Easel Pads,363
Mixed Media Paper,364
Newsprint Paper,365
Palette Paper,366
Pastel Paper,367
Sketchbooks & Notebooks,368
Tracing Paper,369
Watercolor Paper,370
Artists Boards & Canvas,336
Canvas Boards & Panels,373
Canvas Pads,374
Canvas Tools & Accessories,375
Clayboard,376
Craft Hardboard,377
Gessoboard,378
